Office of Occupational Statistics and Employment Projections,,,,,,,,,
As of 8/29/2024,,,,,,,,,
O*NET-SOC and National Employment Matrix (NEM) equivalents with Occupational Outlook Handbook coverage,,,,,,,,,
Sort Order,O*NET-SOC Code,O*NET-SOC Title,NEM Code,National Employment Matrix Occupational Title,OOH Profile Code,OOH Profile Title,OOH Occupation Group,OOH Occupation Group (brief),OOH Profile Website
1,11-1011.00,Chief Executives,11-1011,Chief executives,B039,Top executives,Management,Management,https://www.bls.gov/OOH/management/top-executives.htm
2,11-1011.03,Chief Sustainability Officers,11-1011,Chief executives,B039,Top executives,Management,Management,https://www.bls.gov/OOH/management/top-executives.htm
3,11-1021.00,General and Operations Managers,11-1021,General and operations managers,B039,Top executives,Management,Management,https://www.bls.gov/OOH/management/top-executives.htm
4,11-1031.00,Legislators,11-1031,Legislators,—,—,—,—,—
5,11-2011.00,Advertising and Promotions Managers,Nov-11,Advertising and promotions managers,B016,"Advertising, promotions, and marketing managers",Management,Management,https://www.bls.gov/OOH/management/advertising-promotions-and-marketing-managers.htm
6,11-2021.00,Marketing Managers,Nov-21,Marketing managers,B016,"Advertising, promotions, and marketing managers",Management,Management,https://www.bls.gov/OOH/management/advertising-promotions-and-marketing-managers.htm
7,11-2022.00,Sales Managers,Nov-22,Sales managers,B018,Sales managers,Management,Management,https://www.bls.gov/OOH/management/sales-managers.htm
8,11-2032.00,Public Relations Managers,Nov-32,Public relations managers,B019,Public relations and fundraising managers,Management,Management,https://www.bls.gov/OOH/management/public-relations-managers.htm
9,11-2033.00,Fundraising Managers,Nov-33,Fundraising managers,B019,Public relations and fundraising managers,Management,Management,https://www.bls.gov/OOH/management/public-relations-managers.htm
10,11-3012.00,Administrative Services Managers,Nov-12,Administrative services managers,B020,Administrative services and facilities managers,Management,Management,https://www.bls.gov/OOH/management/administrative-services-managers.htm
11,11-3013.00,Facilities Managers,Nov-13,Facilities managers,B020,Administrative services and facilities managers,Management,Management,https://www.bls.gov/OOH/management/administrative-services-managers.htm
12,11-3013.01,Security Managers,Nov-13,Facilities managers,B020,Administrative services and facilities managers,Management,Management,https://www.bls.gov/OOH/management/administrative-services-managers.htm
13,11-3021.00,Computer and Information Systems Managers,Nov-21,Computer and information systems managers,B021,Computer and information systems managers,Management,Management,https://www.bls.gov/OOH/management/computer-and-information-systems-managers.htm
14,11-3031.00,Financial Managers,Nov-31,Financial managers,B022,Financial managers,Management,Management,https://www.bls.gov/OOH/management/financial-managers.htm
15,11-3031.01,Treasurers and Controllers,Nov-31,Financial managers,B022,Financial managers,Management,Management,https://www.bls.gov/OOH/management/financial-managers.htm
16,11-3031.03,Investment Fund Managers,Nov-31,Financial managers,B022,Financial managers,Management,Management,https://www.bls.gov/OOH/management/financial-managers.htm
17,11-3051.00,Industrial Production Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
18,11-3051.01,Quality Control Systems Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
19,11-3051.02,Geothermal Production Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
20,11-3051.03,Biofuels Production Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
21,11-3051.04,Biomass Power Plant Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
22,11-3051.06,Hydroelectric Production Managers,Nov-51,Industrial production managers,B026,Industrial production managers,Management,Management,https://www.bls.gov/OOH/management/industrial-production-managers.htm
23,11-3061.00,Purchasing Managers,Nov-61,Purchasing managers,B324,"Purchasing managers, buyers, and purchasing agents",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
24,11-3071.00,"Transportation, Storage, and Distribution Managers",Nov-71,"Transportation, storage, and distribution managers",B404,"Transportation, storage, and distribution managers",Management,Management,https://www.bls.gov/OOH/management/transportation-storage-and-distribution-managers.htm
25,11-3071.04,Supply Chain Managers,Nov-71,"Transportation, storage, and distribution managers",B404,"Transportation, storage, and distribution managers",Management,Management,https://www.bls.gov/OOH/management/transportation-storage-and-distribution-managers.htm
26,11-3111.00,Compensation and Benefits Managers,Nov-11,Compensation and benefits managers,B023,Compensation and benefits managers,Management,Management,https://www.bls.gov/OOH/management/compensation-and-benefits-managers.htm
27,11-3121.00,Human Resources Managers,Nov-21,Human resources managers,B025,Human resources managers,Management,Management,https://www.bls.gov/OOH/management/human-resources-managers.htm
28,11-3131.00,Training and Development Managers,Nov-31,Training and development managers,B024,Training and development managers,Management,Management,https://www.bls.gov/OOH/management/training-and-development-managers.htm
29,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,"Farmers, ranchers, and other agricultural managers",B027,"Farmers, ranchers, and other agricultural managers",Management,Management,https://www.bls.gov/OOH/management/farmers-ranchers-and-other-agricultural-managers.htm
30,11-9021.00,Construction Managers,Nov-21,Construction managers,B028,Construction managers,Management,Management,https://www.bls.gov/OOH/management/construction-managers.htm
31,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,"Education and childcare administrators, preschool and daycare",B029,Preschool and childcare center directors,Management,Management,https://www.bls.gov/OOH/management/preschool-and-childcare-center-directors.htm
