2023_national_employment_matrix_title,2023_national_employment_matrix_code,employment_2023,employment_2033,employment_change_numeric_202333,employment_change_percent_202333,median_annual_wage_dollars_2024,growth_status,annual_change_rate,occupation_category,soc_code,occupation_title,onet_soc_code
Word Processors And Typists,43-9022,39.9,24.8,-15.2,-38.0,47850.0,Declining,-1.52,43,43-9022,Word Processors and Typists,43-9022.00
"Roof Bolters, Mining",47-5043,2.0,1.4,-0.6,-32.0,76640.0,Declining,-0.06,47,47-5043,"Roof Bolters, Mining",47-5043.00
Telephone Operators,43-2021,4.7,3.5,-1.2,-26.4,39130.0,Declining,-0.12,43,43-2011,Telephone Operators,43-2011.00
Telephone Operators,43-2021,4.7,3.5,-1.2,-26.4,39130.0,Declining,-0.12,43,43-2021,Telephone Operators,43-2021.00
"Switchboard Operators, Including Answering Service",43-2011,44.9,33.6,-11.3,-25.2,38370.0,Declining,-1.13,43,43-1011,"Switchboard Operators, Including Answering Service",43-1011.00
"Switchboard Operators, Including Answering Service",43-2011,44.9,33.6,-11.3,-25.2,38370.0,Declining,-1.13,43,43-2011,"Switchboard Operators, Including Answering Service",43-2011.00
Data Entry Keyers,43-9021,163.9,122.8,-41.0,-25.0,39850.0,Declining,-4.1,43,43-9021,Data Entry Keyers,43-9021.00
Foundry Mold And Coremakers,51-4071,11.8,8.9,-2.9,-24.6,45700.0,Declining,-0.29,51,51-4071,Foundry Mold and Coremakers,51-4071.00
"Loading And Moving Machine Operators, Underground Mining",47-5044,5.3,4.1,-1.2,-22.9,68860.0,Declining,-0.12,47,47-5044,"Loading and Moving Machine Operators, Underground Mining",47-5044.00
"Patternmakers, Metal And Plastic",51-4062,2.2,1.7,-0.5,-22.2,54540.0,Declining,-0.05,51,51-4062,"Patternmakers, Metal and Plastic",51-4062.00
Telemarketers,41-9041,85.2,66.8,-18.3,-21.5,34410.0,Declining,-1.83,41,41-9031,Telemarketers,41-9031.00
Telemarketers,41-9041,85.2,66.8,-18.3,-21.5,34410.0,Declining,-1.83,41,41-9041,Telemarketers,41-9041.00
Engine And Other Machine Assemblers,51-2031,49.0,38.6,-10.4,-21.3,52540.0,Declining,-1.04,51,51-2023,Engine and Other Machine Assemblers,51-2023.00
Engine And Other Machine Assemblers,51-2031,49.0,38.6,-10.4,-21.3,52540.0,Declining,-1.04,51,51-2031,Engine and Other Machine Assemblers,51-2031.00
Manufactured Building And Mobile Home Installers,49-9095,3.3,2.7,-0.6,-19.6,41080.0,Declining,-0.06,49,49-9095,Manufactured Building and Mobile Home Installers,49-9095.00
"Drilling And Boring Machine Tool Setters, Operators, And Tenders, Metal And Plastic",51-4032,5.8,4.7,-1.1,-19.2,46630.0,Declining,-0.11,51,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032.00
Prepress Technicians And Workers,51-5111,23.3,19.0,-4.3,-18.5,47300.0,Declining,-0.43,51,51-5111,Prepress Technicians and Workers,51-5111.00
"Cutters And Trimmers, Hand",51-9031,6.9,5.6,-1.3,-18.4,38800.0,Declining,-0.13,51,51-9031,"Cutters and Trimmers, Hand",51-9031.00
Order Clerks,43-4151,106.3,87.3,-19.0,-17.9,44660.0,Declining,-1.9,43,43-4141,Order Clerks,43-4141.00
Order Clerks,43-4151,106.3,87.3,-19.0,-17.9,44660.0,Declining,-1.9,43,43-4151,Order Clerks,43-4151.00
